iter	MultiClass
0	1.088508798
1	1.074823372
2	1.062137721
3	1.04993002
4	1.037575619
5	1.028543926
6	1.018105084
7	1.009529283
8	1.002793884
9	0.9964111612
10	0.9918238026
11	0.9884362039
12	0.9851415347
13	0.9801186469
14	0.9764020376
15	0.9711274398
16	0.9655564193
17	0.962751428
18	0.9596048567
19	0.9553110722
20	0.9509372921
21	0.9483487859
22	0.9449662182
23	0.9424677671
24	0.9381719687
25	0.9356258528
26	0.9348653091
27	0.93121766
28	0.9289011452
29	0.9264280935
30	0.9246599383
31	0.9225381581
32	0.9199297527
33	0.9185871505
34	0.9165466484
35	0.9142884362
36	0.9110173876
37	0.9082499
38	0.9064440049
39	0.9043219541
40	0.9019715567
41	0.8991606503
42	0.8974819568
43	0.8946450994
44	0.8934243696
45	0.8907391293
46	0.8886734791
47	0.8861308173
48	0.882443089
49	0.8810764016
50	0.8794728735
51	0.8773240308
52	0.8749672048
53	0.8736226777
54	0.8716282751
55	0.8700506582
56	0.868851733
57	0.8673340712
58	0.8656754446
59	0.864498067
60	0.8632617418
61	0.8616013422
62	0.8592364685
63	0.8576882562
64	0.856129532
65	0.8553060242
66	0.8543771554
67	0.8523395677
68	0.8510247145
69	0.8505332166
70	0.8490521072
71	0.8476238941
72	0.8467564976
73	0.8449037409
74	0.8435297837
75	0.8431079695
76	0.8424157865
77	0.8410845277
78	0.8389576295
79	0.8373351277
80	0.8348527505
81	0.834111446
82	0.8321826548
83	0.8305466483
84	0.8285669848
85	0.8263237784
86	0.8247168017
87	0.8237455252
88	0.8216776995
89	0.8207941827
90	0.8182110597
91	0.8169117792
92	0.8145508777
93	0.8135850389
94	0.8121909121
95	0.8095047792
96	0.8085850686
97	0.8066230217
98	0.8049545492
99	0.8041040128
100	0.8025594176
101	0.7998976597
102	0.7982731246
103	0.796138286
104	0.7943819376
105	0.7932727114
106	0.7910203039
107	0.7899954808
108	0.7882246279
109	0.786956904
110	0.784819578
111	0.7837802693
112	0.7819949792
113	0.7801895772
114	0.7773629425
115	0.7760784206
116	0.7740689289
117	0.77218117
118	0.7708526291
119	0.769845073
120	0.7682724275
121	0.766945535
122	0.7658318003
123	0.7650703507
124	0.7639294897
125	0.7610176332
126	0.7592359695
127	0.7573962207
128	0.7560915956
129	0.7544498858
130	0.7529014592
131	0.7516945545
132	0.7498568935
133	0.7480934655
134	0.7467213883
135	0.7439980998
136	0.7429563632
137	0.7419475854
138	0.7402241574
139	0.7390253218
140	0.7377724506
141	0.7366392426
142	0.7359943299
143	0.7348958258
144	0.7337189866
145	0.732795433
146	0.7314022562
147	0.7308783299
148	0.7296312439
149	0.7287647627
150	0.7264878392
151	0.7251081443
152	0.7240787554
153	0.7230911136
154	0.7221679951
155	0.7204268409
156	0.719459355
157	0.7179001242
158	0.7168512308
159	0.715420563
160	0.7143810227
161	0.7134244758
162	0.712778178
163	0.711830591
164	0.7105264785
165	0.7092940644
166	0.7083916539
167	0.7075630177
168	0.7067440569
169	0.7057383396
170	0.7046151661
171	0.70354168
172	0.7023797858
173	0.7012137694
174	0.6997317037
175	0.6988423898
176	0.6978990082
177	0.6971392718
178	0.6952339282
179	0.6943909514
180	0.6935995125
181	0.6921329198
182	0.6913787151
183	0.6907738174
184	0.6898850628
185	0.6892916675
186	0.6885143472
187	0.6879044214
188	0.6869550058
189	0.6861443068
190	0.685641015
191	0.6840317332
192	0.6826855054
193	0.6819710702
194	0.6812856488
195	0.6803487553
196	0.6796446284
197	0.6786382102
198	0.6777518044
199	0.6771162732
200	0.6767838692
201	0.6763740911
202	0.6758018476
203	0.6751994916
204	0.6745156936
205	0.6740667161
206	0.6734498692
207	0.6727521937
208	0.6717824863
209	0.6710561296
210	0.6700790057
211	0.6687418438
212	0.6676419396
213	0.6670575716
214	0.6665396952
215	0.6659066258
216	0.665347275
217	0.6646335282
218	0.6640836762
219	0.663191552
220	0.6624626598
221	0.6618671865
222	0.6613556586
223	0.6606378167
224	0.660280554
225	0.6597684448
226	0.6592686242
227	0.6587378138
228	0.6580496177
229	0.6570841706
230	0.6558188032
231	0.6552464364
232	0.6545288982
233	0.6538140786
234	0.6533985365
235	0.6528349215
236	0.6522823881
237	0.6514501468
238	0.6504152481
239	0.6501085822
240	0.6492264082
241	0.6487018156
242	0.6476052844
243	0.647072174
244	0.6463949571
245	0.6459525652
246	0.6453068732
247	0.6439927028
248	0.6432893207
249	0.6426448173
250	0.6421237516
251	0.6415247934
252	0.6409577961
253	0.6402344449
254	0.6397487985
255	0.6384601191
256	0.6374263054
257	0.6367768976
258	0.6363876617
259	0.6352106803
260	0.6347523917
261	0.6342826275
262	0.6335064846
263	0.6320933824
264	0.631407779
265	0.6310071662
266	0.6301142928
267	0.6296889713
268	0.6290253437
269	0.6279516909
270	0.6268847017
271	0.6260154605
272	0.6253165692
273	0.6248409128
274	0.6242672223
275	0.6235260228
276	0.6230222176
277	0.6223265457
278	0.6215793238
279	0.6210620802
280	0.6203508713
281	0.6200034618
282	0.6194313252
283	0.6191245368
284	0.6188894095
285	0.6183266861
286	0.6177863505
287	0.6171080593
288	0.61687231
289	0.6160589467
290	0.6154740746
291	0.6151363392
292	0.6147312319
293	0.6142435039
294	0.6133113235
295	0.6125119694
296	0.6118400097
297	0.611346915
298	0.610784666
299	0.6102717917
300	0.6098198674
301	0.6095196131
302	0.608959792
303	0.6086477906
304	0.6082568709
305	0.6075390561
306	0.6068527861
307	0.6063878886
308	0.6059312439
309	0.6053837644
310	0.6045907667
311	0.6041603966
312	0.6036264503
313	0.6032885044
314	0.6028981097
315	0.6022940095
316	0.6017965248
317	0.6014476402
318	0.6008597515
319	0.6004920599
320	0.60008475
321	0.5995053108
322	0.5990025528
323	0.598549889
324	0.5980201475
325	0.5978005427
326	0.5974224082
327	0.5968606087
328	0.5965899845
329	0.5961752794
330	0.5956254177
331	0.5944778004
332	0.5937914453
333	0.5929546124
334	0.5924056711
335	0.5917454609
336	0.5911233045
337	0.5906122129
338	0.5900752093
339	0.5896224257
340	0.5889525469
341	0.5886325665
342	0.5881149374
343	0.5877677942
344	0.5873065802
345	0.5868657762
346	0.5864232989
347	0.5857080503
348	0.5852706511
349	0.5846343306
350	0.5840740551
351	0.5831441212
352	0.5828849298
353	0.5824263365
354	0.5821129426
355	0.5815157766
356	0.5812292529
357	0.5808188066
358	0.5803577169
359	0.5799586887
360	0.5795597468
361	0.5791038301
362	0.5784231091
363	0.5779807875
364	0.5777209113
365	0.5767603421
366	0.5762584194
367	0.575299301
368	0.5747518745
369	0.5743979536
370	0.5740739818
371	0.5732349911
372	0.5724119388
373	0.5718923168
374	0.5708979976
375	0.5706987497
376	0.5701298582
377	0.5698376437
378	0.5693798667
379	0.5691248002
380	0.5687057219
381	0.5684803257
382	0.5681068849
383	0.5677797532
384	0.5673313755
385	0.5668373707
386	0.5666350526
387	0.566348515
388	0.5660504616
389	0.5655465143
390	0.5646468068
391	0.5641347983
392	0.5634307773
393	0.5630578247
394	0.562827595
395	0.5620771975
396	0.5617561485
397	0.5612698059
398	0.5603028203
399	0.5598728567
400	0.5594025458
401	0.5589658945
402	0.5585035333
403	0.5582315617
404	0.5579816541
405	0.5576513391
406	0.5570907208
407	0.5565084003
408	0.5560903959
409	0.5555944017
410	0.5552519753
411	0.5549894223
412	0.5546661308
413	0.5542844714
414	0.5537977756
415	0.5532008867
416	0.5529842492
417	0.5524598955
418	0.5522430216
419	0.5519109872
420	0.551696193
421	0.5513351584
422	0.5507614649
423	0.550300089
424	0.5500225818
425	0.5495376039
426	0.5491362837
427	0.548428248
428	0.5480517567
429	0.5477702761
430	0.5476300015
431	0.5472535173
432	0.5468348508
433	0.5465474139
434	0.5460137223
435	0.5457481771
436	0.5452204628
437	0.5449120846
438	0.5446941926
439	0.5443109359
440	0.5438850787
441	0.5436113406
442	0.5433409408
443	0.5428977445
444	0.5424047762
445	0.5420483942
446	0.5416639126
447	0.5411344008
448	0.5406837694
449	0.5402970124
450	0.5398365315
451	0.539431215
452	0.539003148
453	0.538780627
454	0.5383634378
455	0.5379799997
456	0.5377628388
457	0.5374224288
458	0.537001801
459	0.536518296
460	0.5360960886
461	0.5358487382
462	0.5353388643
463	0.5350592799
464	0.534727915
465	0.5343095627
466	0.5335837101
467	0.5333104416
468	0.5330134682
469	0.5327541529
470	0.5322865207
471	0.5317029626
472	0.531277196
473	0.5310393721
474	0.5308590801
475	0.5304714129
476	0.5298995941
477	0.5292637386
478	0.5284884817
479	0.5282563697
480	0.5277875234
481	0.5276179008
482	0.5273144486
483	0.5269309865
484	0.5268006535
485	0.5265286171
486	0.5262302255
487	0.5258024961
488	0.5252086612
489	0.5249012468
490	0.5245864314
491	0.5242456637
492	0.5239648588
493	0.5235724394
494	0.5233352892
495	0.5229611717
496	0.5227256692
497	0.5225634812
498	0.5223191558
499	0.522139381
500	0.5218135606
501	0.5212987302
502	0.5209274411
503	0.5207147468
504	0.520477315
505	0.5201632348
506	0.5197232932
507	0.5193049806
508	0.5190289647
509	0.5185864612
510	0.5182171819
511	0.5178697078
512	0.5177066636
513	0.5173628763
514	0.5172287969
515	0.5169414966
516	0.516585363
517	0.5161004482
518	0.5158455852
519	0.5156896688
520	0.5153575844
521	0.5149884022
522	0.5148283549
523	0.5145809462
524	0.5142623439
525	0.5139261389
526	0.5137224604
527	0.5134254459
528	0.5132405314
529	0.5130223399
530	0.5124470532
531	0.5122390101
532	0.5119814077
533	0.511426747
534	0.5113031129
535	0.5111523433
536	0.5109475775
537	0.5105117388
538	0.5099007287
539	0.5094656906
540	0.5091499216
541	0.5089092305
542	0.5083618316
543	0.5081409348
544	0.5080404107
545	0.5077608883
546	0.5074319718
547	0.5070536092
548	0.5067602578
549	0.5063298846
550	0.505973194
551	0.5056321499
552	0.5052897248
553	0.5050917002
554	0.5048191584
555	0.504659249
556	0.5042993759
557	0.5038781751
558	0.5033213794
559	0.5031183581
560	0.5026043555
561	0.5024505293
562	0.5021676188
563	0.5018832206
564	0.5016915915
565	0.5012961541
566	0.5011625695
567	0.5008014727
568	0.5006214874
569	0.5002431663
570	0.499804557
571	0.4996718832
572	0.4993193018
573	0.4991409328
574	0.4985156028
575	0.4982204831
576	0.49807651
577	0.4978629291
578	0.4975660156
579	0.4973831163
580	0.4971737089
581	0.4968610304
582	0.4963864934
583	0.496030028
584	0.4958159592
585	0.495565507
586	0.495273998
587	0.495132871
588	0.4949500898
589	0.4946903061
590	0.4944738825
591	0.4941924255
592	0.4938955776
593	0.4937162863
594	0.4935403455
595	0.4931482167
596	0.4928116118
597	0.4925350359
598	0.4921222578
599	0.4917153906
600	0.4915219557
601	0.4913952073
602	0.491045701
603	0.4908002271
604	0.490644867
605	0.4904150426
606	0.4901822358
607	0.4898967451
608	0.4893804513
609	0.4889893454
610	0.4886788831
611	0.4885103728
612	0.4883077307
613	0.4877496459
614	0.4875239541
615	0.4872392178
616	0.4869712995
617	0.4866199775
618	0.4863076923
619	0.4861045508
620	0.4858725246
621	0.4855038704
622	0.4852957975
623	0.4850639984
624	0.4847113332
625	0.4845674922
626	0.4843888911
627	0.4841378857
628	0.4839364831
629	0.4835076296
630	0.4833600863
631	0.4831713976
632	0.4828751337
633	0.482690065
634	0.4823230341
635	0.4821478882
636	0.481752638
637	0.4814776639
638	0.4813345701
639	0.4811051284
640	0.4809506604
641	0.4805500834
642	0.4803716187
643	0.4802259192
644	0.4800402631
645	0.4793001247
646	0.4789701544
647	0.4786203268
648	0.4781044466
649	0.4776747282
650	0.4774224177
651	0.4772171123
652	0.4766142834
653	0.4764680226
654	0.4762146886
655	0.4759461528
656	0.4753247919
657	0.4751680539
658	0.4746815092
659	0.474589142
660	0.4740824785
661	0.4737450286
662	0.4735394699
663	0.4733393067
664	0.473211331
665	0.4730022466
666	0.4727535076
667	0.4725228767
668	0.4722824545
669	0.4720817152
670	0.471861192
671	0.471259615
672	0.4711073062
673	0.4706462526
674	0.4703787623
675	0.4701372707
676	0.4699223005
677	0.4697696272
678	0.4694567033
679	0.4693168264
680	0.4690079429
681	0.468794749
682	0.4685626736
683	0.4684067022
684	0.468239235
685	0.4681096031
686	0.4679531358
687	0.4677347431
688	0.4675524418
689	0.4673008775
690	0.4671458621
691	0.466848381
692	0.4666632457
693	0.4663520112
694	0.4661848814
695	0.4660167902
696	0.4657496591
697	0.4654641585
698	0.4652747785
699	0.4650552258
700	0.4647977776
701	0.4643374297
702	0.4641966599
703	0.4640332034
704	0.4638467786
705	0.4635855953
706	0.4632591031
707	0.4631406016
708	0.4629833196
709	0.4628005908
710	0.4626729628
711	0.4621931623
712	0.4618665399
713	0.4616408756
714	0.4613590645
715	0.4611281029
716	0.4608292166
717	0.4605655945
718	0.4604062419
719	0.4600857387
720	0.459840193
721	0.4594793874
722	0.4592672561
723	0.4590825342
724	0.4589673302
725	0.4587459239
726	0.4585386933
727	0.4582680347
728	0.4580117101
729	0.4576477928
730	0.4572378476
731	0.4569500883
732	0.4568443783
733	0.4564724925
734	0.4562460432
735	0.4559919561
736	0.4558843631
737	0.4555909248
738	0.4553452334
739	0.4549489817
740	0.4546364551
741	0.4544520467
742	0.4542621275
743	0.4537371665
744	0.453482322
745	0.4533372059
746	0.4531486072
747	0.452957599
748	0.4527690405
749	0.4526180618
750	0.4523940692
751	0.4522018452
752	0.4519918539
753	0.4518490485
754	0.4515776701
755	0.4513739944
756	0.4512190064
757	0.4510603696
758	0.4502616883
759	0.4500416514
760	0.4499149316
761	0.4497060134
762	0.4495513221
763	0.4490739111
764	0.4489039293
765	0.448768678
766	0.4485600253
767	0.4482928251
768	0.4479866592
769	0.4478553405
770	0.4470860511
771	0.4469861379
772	0.4466922063
773	0.446571796
774	0.4463028946
775	0.4456284623
776	0.4454723376
777	0.4450987637
778	0.4448343695
779	0.4447424339
780	0.4446415328
781	0.4444776591
782	0.4443078815
783	0.4439930966
784	0.443876389
785	0.443674518
786	0.4435033627
787	0.4434208769
788	0.4431714045
789	0.4428716947
790	0.442759466
791	0.4426377294
792	0.4424433427
793	0.4423061612
794	0.4421706169
795	0.4418983436
796	0.4415611365
797	0.4414080602
798	0.4412687991
799	0.4410924702
800	0.4407387384
801	0.4405510637
802	0.4404494861
803	0.4402542804
804	0.4398109811
805	0.4395284651
806	0.4394166074
807	0.4391616189
808	0.4388891513
809	0.438707576
810	0.4384833074
811	0.4382714585
812	0.4380574008
813	0.4379358882
814	0.4378024098
815	0.4376722765
816	0.4375075718
817	0.4372340578
818	0.4368093173
819	0.4367011105
820	0.4364744368
821	0.4362834962
822	0.4359716251
823	0.4349825249
824	0.4348508296
825	0.4346069672
826	0.4344156359
827	0.4341961723
828	0.433888309
829	0.4336038785
830	0.4330899639
831	0.4327630718
832	0.4326146298
833	0.4324888235
834	0.4323733052
835	0.4322201635
836	0.4319814291
837	0.4317730739
838	0.4313486005
839	0.4312026945
840	0.4311067724
841	0.4309282282
842	0.4308148633
843	0.4307268803
844	0.4305447452
845	0.4303522189
846	0.4301012274
847	0.4299381235
848	0.4297170693
849	0.4295755994
850	0.4289707513
851	0.4287577682
852	0.4280565742
853	0.4276061039
854	0.4274265624
855	0.4272980944
856	0.427129696
857	0.4268494958
858	0.4266893765
859	0.4264969566
860	0.4262334396
861	0.4258754063
862	0.4257716992
863	0.4256587091
864	0.4255035728
865	0.4254149724
866	0.4253277824
867	0.4251912263
868	0.4249809188
869	0.4247347228
870	0.4241432118
871	0.4240167569
872	0.4238415022
873	0.4236624935
874	0.423404206
875	0.4230415962
876	0.4229345754
877	0.4227233569
878	0.4226275573
879	0.4224586421
880	0.4222179163
881	0.4219683891
882	0.4218265244
883	0.4216450298
884	0.4213921577
885	0.4212571647
886	0.4211542885
887	0.4209530832
888	0.4207484275
889	0.4202813567
890	0.4201052258
891	0.4199405529
892	0.419784667
893	0.4196328187
894	0.419038299
895	0.4186027272
896	0.4183722362
897	0.4182708018
898	0.4182044867
899	0.4179615772
900	0.4177709345
901	0.4176202104
902	0.4174778316
