iter	Passed	Remaining
0	39	39222
1	82	41346
2	125	41591
3	167	41630
4	231	46001
5	282	46739
6	325	46137
7	368	45720
8	413	45481
9	465	46133
10	529	47608
11	573	47233
12	616	46793
13	658	46411
14	715	46989
15	763	46943
16	808	46721
17	852	46508
18	896	46295
19	957	46941
20	1010	47125
21	1054	46898
22	1098	46652
23	1142	46463
24	1200	46808
25	1248	46761
26	1293	46606
27	1337	46430
28	1383	46328
29	1467	47455
30	1531	47858
31	1580	47796
32	1629	47754
33	1695	48172
34	1756	48428
35	1813	48569
36	1863	48505
37	1928	48821
38	1992	49094
39	2047	49149
40	2101	49148
41	2162	49315
42	2236	49780
43	2292	49817
44	2351	49910
45	2431	50426
46	2490	50501
47	2546	50497
48	2604	50543
49	2667	50689
50	2732	50843
51	2787	50814
52	2847	50878
53	2921	51178
54	2984	51283
55	3035	51161
56	3078	50933
57	3122	50706
58	3185	50804
59	3234	50674
60	3278	50465
61	3332	50424
62	3399	50567
63	3474	50811
64	3530	50779
65	3599	50944
66	3677	51208
67	3723	51035
68	3767	50831
69	3832	50911
70	3884	50826
71	3931	50672
72	3975	50478
73	4018	50283
74	4079	50314
75	4142	50367
76	4186	50184
77	4233	50043
78	4277	49873
79	4332	49824
80	4381	49715
81	4425	49547
82	4474	49435
83	4518	49270
84	4573	49230
85	4619	49097
86	4663	48936
87	4707	48782
88	4751	48633
89	4803	48570
90	4862	48570
91	4907	48431
92	4951	48287
93	4995	48149
94	5059	48197
95	5104	48066
96	5149	47935
97	5195	47820
98	5241	47701
99	5300	47708
100	5346	47589
101	5390	47458
102	5436	47347
103	5481	47221
104	5534	47178
105	5587	47128
106	5631	46998
107	5673	46857
108	5716	46726
109	5768	46675
110	5824	46646
111	5876	46589
112	5920	46470
113	5964	46356
114	6022	46346
115	6071	46270
116	6115	46152
117	6158	46031
118	6218	46035
119	6268	45966
120	6312	45853
121	6355	45738
122	6398	45623
123	6448	45554
124	6507	45555
125	6554	45467
126	6596	45347
127	6639	45233
128	6696	45216
129	6743	45126
130	6789	45038
131	6834	44939
132	6877	44835
133	6936	44831
134	6997	44838
135	7047	44770
136	7091	44669
137	7137	44583
138	7197	44582
139	7245	44509
140	7289	44406
141	7333	44310
142	7396	44327
143	7448	44277
144	7494	44189
145	7536	44081
146	7578	43974
147	7629	43920
148	7689	43919
149	7733	43824
150	7777	43729
151	7821	43634
152	7878	43612
153	7925	43541
154	7969	43445
155	8017	43375
156	8062	43291
157	8122	43288
158	8171	43222
159	8218	43145
160	8262	43054
161	8305	42961
162	8356	42912
163	8413	42888
164	8460	42816
165	8503	42720
166	8545	42624
167	8603	42609
168	8651	42539
169	8694	42448
170	8737	42360
171	8785	42293
172	8844	42280
173	8894	42222
174	8938	42139
175	8983	42057
176	9026	41969
177	9080	41933
178	9130	41875
179	9183	41836
180	9230	41767
181	9273	41681
182	9328	41646
183	9376	41583
184	9421	41504
185	9471	41451
186	9513	41362
187	9561	41298
188	9617	41266
189	9667	41212
190	9709	41124
191	9752	41040
192	9807	41010
193	9853	40938
194	9896	40855
195	9939	40772
196	9983	40693
197	10040	40669
198	10092	40623
199	10136	40546
200	10178	40461
201	10226	40399
202	10285	40383
203	10330	40309
204	10373	40229
205	10420	40165
206	10464	40087
207	10513	40032
208	10566	39991
209	10621	39955
210	10663	39874
211	10705	39792
212	10759	39753
213	10808	39698
214	10852	39623
215	10896	39551
216	10940	39476
217	10992	39430
218	11047	39398
219	11103	39367
220	11146	39288
221	11188	39210
222	11247	39189
223	11295	39129
224	11338	39055
225	11382	38984
226	11429	38922
227	11489	38902
228	11535	38838
229	11577	38760
230	11621	38686
231	11663	38611
232	11719	38579
233	11768	38523
234	11812	38453
235	11856	38381
236	11899	38307
237	11954	38273
238	12006	38230
239	12052	38165
240	12095	38092
241	12138	38021
242	12188	37971
243	12250	37955
244	12299	37901
245	12354	37866
246	12406	37821
247	12474	37825
248	12519	37760
249	12562	37686
250	12604	37612
251	12661	37583
252	12707	37520
253	12751	37451
254	12795	37383
255	12839	37315
256	12890	37267
257	12947	37236
258	12990	37166
259	13033	37096
260	13077	37027
261	13137	37006
262	13183	36944
263	13230	36885
264	13274	36817
265	13318	36752
266	13371	36709
267	13431	36685
268	13475	36617
269	13517	36546
270	13559	36475
271	13610	36429
272	13664	36387
273	13713	36337
274	13762	36283
275	13823	36260
276	13890	36256
277	13945	36217
278	14001	36184
279	14055	36141
280	14113	36111
281	14167	36071
282	14211	36006
283	14260	35951
284	14316	35916
285	14369	35874
286	14421	35828
287	14468	35769
288	14520	35724
289	14567	35664
290	14610	35597
291	14653	35530
292	14710	35495
293	14762	35449
294	14805	35383
295	14849	35318
296	14893	35253
297	14945	35206
298	15001	35170
299	15045	35105
300	15088	35040
301	15131	34973
302	15192	34947
303	15244	34901
304	15289	34839
305	15332	34772
306	15375	34707
307	15429	34667
308	15486	34632
309	15529	34565
310	15571	34496
311	15613	34430
312	15671	34397
313	15719	34343
314	15762	34277
315	15806	34213
316	15850	34151
317	15901	34103
318	15955	34061
319	16007	34015
320	16052	33954
321	16095	33891
322	16151	33852
323	16199	33798
324	16246	33743
325	16290	33680
326	16342	33633
327	16403	33607
328	16462	33576
329	16505	33510
330	16546	33443
331	16588	33377
332	16646	33343
333	16709	33318
334	16755	33260
335	16799	33198
336	16846	33143
337	16900	33101
338	16949	33048
339	16993	32987
340	17036	32924
341	17095	32892
342	17158	32865
343	17201	32803
344	17247	32745
345	17306	32711
346	17385	32717
347	17446	32687
348	17497	32638
349	17568	32627
350	17631	32600
351	17685	32556
352	17738	32512
353	17791	32467
354	17865	32459
355	17917	32412
356	17970	32366
357	18040	32351
358	18095	32309
359	18152	32271
360	18209	32232
361	18276	32211
362	18335	32175
363	18401	32152
364	18459	32114
365	18520	32082
366	18583	32052
367	18631	31997
368	18683	31948
369	18748	31922
370	18817	31903
371	18873	31861
372	18924	31811
373	18983	31774
374	19042	31736
375	19086	31674
376	19129	31612
377	19174	31551
378	19233	31514
379	19286	31467
380	19345	31429
381	19411	31404
382	19480	31382
383	19559	31376
384	19625	31349
385	19668	31286
386	19732	31255
387	19790	31216
388	19834	31153
389	19878	31092
390	19924	31032
391	19981	30991
392	20029	30935
393	20073	30875
394	20118	30813
395	20161	30750
396	20215	30705
397	20269	30658
398	20326	30617
399	20376	30564
400	20424	30509
401	20479	30465
402	20523	30403
403	20566	30341
404	20611	30280
405	20669	30241
406	20726	30198
407	20772	30140
408	20816	30079
409	20860	30018
410	20915	29973
411	20961	29915
412	21007	29858
413	21051	29797
414	21107	29753
415	21159	29704
416	21206	29648
417	21250	29588
418	21305	29542
419	21368	29508
420	21417	29455
421	21460	29393
